"","slide","id","morph","locality","species","tissue_thickness","collagen_layer_nm","iridophores_area_px","iridophores_area_nm2","iridophores_thickness_pix","iridophores_thickness_nm","iridophores_density","melanophores_area_px","melanophores_area_nm2","melanophores_thickness_px","melanophores_thickness_nm","melanophores_density","xanthophores_area_px","xanthophores_area_nm2","xanthophores_thickness_px","xanthophore_thickness_nm","xanthophores_density","xanthtomel","iritomel","xanthtoiri","glands","B1","B2","B3","S1U","S1V","S1B","S1G","S1Y","S1R","S2","S3","S4","S5","S6","S7","S8","S9","S10","H1","H2","H3","H4","H5","total_chrom_area","rel_xanth","rel_melan","rel_irid"
"25","1108","CAY.7","green","CAY","pumilio",23.28732107,4.241411323,176.015785,2.142112103,0,0,NA,31047.66667,377.8501033,1178.465723,1.685545,224.1708784,3225.533333,39.25474066,185.258934,2.254601227,17.4109462,0.077668189,0,NA,5,1919.112557,4.78581685,9.92975399,0.162400032,0.181123887,0.133533186,0.420610158,0.353792498,0.290906132,4.785334008,0.45997248,0.094064208,610.5854647,7.854715137,0.636485032,1.641248586,0.56949989,0.154382749,574,618,634,0.910131169,519,34449.215788,0.0936315460081846,0.901259026070925,0.00510942792089082
"26","1109","CAY.8","green","CAY","pumilio",21.85412406,3.435732983,3227,39.27259,137.7889578,1.676891616,23.41987379,31804.66667,387.0627933,1461.661623,2.377206667,162.8225256,3735.166667,45.45697834,96.060188,1.169052488,38.88360771,0.238809757,0.143836817,1.660282547,4,2554.643671,6.370682472,8.204544764,0.24080859,0.270218482,0.211472773,0.289101994,0.233247302,0.265735544,1.754487811,0.299569084,0.03070709,267.0191064,3.528225718,-0.833966279,0.553822253,0.332979641,0.01700627,555,381,331,0.5393229,518,38766.833337,0.0963495427787512,0.820409198593089,0.0832412586281602
"27","V644/22","DAM.1","green","DAM","granulifera",15.37,3.69,NA,NA,NA,NA,NA,683.6483155,8.682333607,118.3237469,1.44,30.8884694,105.9983566,1.29,69.0221857,0.84,8.210053335,0.265796703,NA,NA,3,1537.906978,3.835179497,6.01965666,0.233622195,0.257115664,0.156265257,0.336496498,0.27630088,0.280673063,3.349044659,0.363473067,0.054977853,290.800697,4.222231641,-0.992454992,1.10092152,0.566028703,0.060526302,573,344,301,0.570608655,518,NA,NA,NA,NA
"28","V645/22","DAM.2","green","DAM","granulifera",15.64,5.14,NA,NA,NA,NA,NA,1525.061627,19.36828266,196.3845522,2.39,40.79930302,493.0156122,6,53.41002465,0.65,48.496519,1.188660477,NA,NA,3,1796.162152,4.47920736,7.251638522,0.238174102,0.263574118,0.207467606,0.347849838,0.271047352,0.214063698,2.531660987,0.362374914,0.077911895,222.6529827,4.387258749,-0.891775769,0.979472124,0.067678746,0.076312529,574,618,321,1.189981787,518,NA,NA,NA,NA
"29","V646/22","DAM.3","green","DAM","granulifera",13.11,5.35,2838,34.53846,41.33,0.5029861,68.66682797,670.5012325,8.515365653,253.9030403,3.09,16.55154006,304.0262942,3.7,111.7502054,1.36,17.05177313,1.030222751,4.148666995,0.24832621,2,2182.099947,5.441645754,6.639089027,0.285917352,0.319082004,0.224247374,0.258776773,0.20735893,0.237917266,1.845211823,0.196128131,0.055527667,109.696706,3.041079874,0.674415159,0.558852967,0.243839137,0.031031802,315,481,635,-0.467919727,518,3812.5275267,0.079744025996097,0.175867905950666,0.744388068053237
"30","V647/22","DAM.4","green","DAM","granulifera",15.66,3.66,3318.5,40.386145,32.46,0.3950382,102.2335182,3095.316352,39.31051767,185.7025472,2.26,87.45906803,590.7970419,7.19,46.01479047,0.56,67.36875592,0.770288976,1.168929883,0.658969359,2,1598.147565,3.985405398,5.513042507,0.262335467,0.291165972,0.205853134,0.306310383,0.237140679,0.232741098,2.024333136,0.302311251,0.038832273,126.2078871,2.789655527,0.641261624,0.69996782,0.236890722,0.027181341,543,481,624,0.670049758,507,7004.6133939,0.0843439899787329,0.441896815418189,0.473759194603079
"31","V648/22","DAM.5","green","DAM","granulifera",19.16,5.79,NA,NA,NA,NA,NA,4452.752671,56.54995892,294.1659819,3.58,64.91574438,1484.798685,18.07,82.16926869,1,77.49471216,1.193773759,NA,NA,2,2541.40057,6.337657281,8.269690495,0.306766709,0.344770559,0.249240615,0.255831485,0.195934085,0.195314265,1.792491229,0.199129516,0.07064549,124.268766,3.656172525,0.572205253,0.576896535,-0.12893774,0.040755139,312,481,597,-2.035079804,507,NA,NA,NA,NA
"32","V649/22","DAM.6","green","DAM","granulifera",22.71,4.53,NA,NA,NA,NA,NA,3926.047658,49.86080526,164.3385374,2,86.43874192,1788.003287,21.76,79.70419063,0.97,81.16699065,0.939011708,NA,NA,NA,3958.120424,9.870624499,14.98470935,0.272009398,0.305986246,0.225670304,0.297919431,0.256189478,0.211846671,2.156156515,0.32412557,0.18157393,136.4972908,8.03497762,-0.991751169,0.814029307,-0.148548975,0.1478065,583,618,301,0.907799548,531,NA,NA,NA,NA
"33","V650/22","DAM.7","green","DAM","granulifera",19.12,5.52,NA,NA,NA,NA,NA,1230.895645,15.63237469,167.6253081,2.04,31.55754279,407.5595727,4.96,93.67296631,1.14,18.69813792,0.592509311,NA,NA,2,2628.518834,6.554909809,9.162881592,0.268741119,0.302211152,0.231343364,0.296118751,0.240349791,0.211340287,1.850654327,0.309649235,0.102202678,95.32967107,4.211723801,-0.695795345,0.642529634,-0.067163961,0.065668249,584,618,353,1.096493666,518,NA,NA,NA,NA
"34","V651/22","DAM.8","green","DAM","granulifera",16.28,4.23,NA,NA,NA,NA,NA,479.8685292,6.094330321,142.9745275,1.74,16.94020338,245.6861134,2.99,59.16187346,0.72,20.96011751,1.237300228,NA,NA,NA,4153.99899,10.35909973,13.86348321,0.266222131,0.299069676,0.220899576,0.2864574,0.235612394,0.233764237,1.864535142,0.306385904,0.097074142,223.7464273,6.428126858,-0.664229745,0.620529489,0.118963505,0.060237368,581,618,359,0.471231658,518,NA,NA,NA,NA
