Spectral,Histological,r,p,n,morph,abs_r,p_adj_BH,sig_stars,pass_threshold
B3,rel_xanth,0.312469455,0.1568331,22,Green,0.312469455,0.527842835,,FALSE
S9,rel_xanth,-0.223159295,0.318146404,22,Green,0.223159295,0.691622617,,FALSE
S1V,rel_xanth,-0.16673943,0.458304517,22,Green,0.16673943,0.782822702,,FALSE
S1G,rel_xanth,0.251478191,0.258920134,22,Green,0.251478191,0.616476509,,FALSE
S1R,rel_xanth,-0.305909852,0.166190808,22,Green,0.305909852,0.527842835,,FALSE
B3,rel_melan,0.104803761,0.642532433,22,Green,0.104803761,0.803165541,,FALSE
S9,rel_melan,0.136126382,0.545815697,22,Green,0.136126382,0.782822702,,FALSE
S1V,rel_melan,-0.272684013,0.21953112,22,Green,0.272684013,0.609808666,,FALSE
S1G,rel_melan,0.253496066,0.254989608,22,Green,0.253496066,0.616476509,,FALSE
S1R,rel_melan,0.077745425,0.730926279,22,Green,0.077745425,0.870150332,,FALSE
B3,rel_irid,-0.190995603,0.394527862,22,Green,0.190995603,0.758707427,,FALSE
S9,rel_irid,-0.060247142,0.789984454,22,Green,0.060247142,0.897709607,,FALSE
S1V,rel_irid,0.303962123,0.169042378,22,Green,0.303962123,0.527842835,,FALSE
S1G,rel_irid,-0.311380743,0.15836012,22,Green,0.311380743,0.527842835,,FALSE
S1R,rel_irid,0.018880644,0.933536816,22,Green,0.018880644,0.93918426,,FALSE
